INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,Hour,BORO,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Incidents1,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,MonYr,MonYrAxis,MonthNum,YearNum,firstAppear,Num_Vic,Odd_Even_Vic
80064773,7/30/2011,23:25:00,11 PM,BROOKLYN,FALSE,40.57765294,-73.99687677,1,1,0,1,1,1,0,0,7/1/2011,40725,7,11,1,4,FALSE
80387683,8/21/2011,3:58:00,3 AM,BRONX,FALSE,40.83722597,-73.88729341,1,1,0,1,1,1,0,0,8/1/2011,40756,8,11,1,4,FALSE
80484245,8/27/2011,0:40:00,12 AM,QUEENS,FALSE,40.68424312,-73.79767795,1,1,0,1,1,1,1,1,8/1/2011,40756,8,11,1,5,TRUE
80492765,8/29/2011,1:04:00,1 AM,BROOKLYN,FALSE,40.66760816,-73.87684498,1,1,0,1,1,1,0,0,8/1/2011,40756,8,11,1,4,FALSE
80510374,8/29/2011,19:45:00,7 PM,BRONX,FALSE,40.84504499,-73.88041747,1,1,0,1,1,1,1,1,8/1/2011,40756,8,11,1,4,FALSE
80541204,8/31/2011,19:18:00,7 PM,BROOKLYN,FALSE,40.66932891,-73.90433897,1,1,0,1,1,1,0,0,8/1/2011,40756,8,11,1,6,FALSE
80558961,9/2/2011,3:56:00,3 AM,QUEENS,FALSE,40.68486374,-73.75868056,1,1,0,1,1,1,0,0,9/1/2011,40787,9,11,1,6,FALSE
80584530,9/4/2011,3:33:00,3 AM,BRONX,FALSE,40.88545008,-73.86346289,1,1,0,1,1,1,1,1,9/1/2011,40787,9,11,1,6,FALSE
80585002,9/4/2011,18:35:00,6 PM,BROOKLYN,FALSE,40.69534812,-73.95255691,1,1,0,1,1,1,0,0,9/1/2011,40787,9,11,1,4,FALSE
80592060,9/5/2011,0:45:00,12 AM,BROOKLYN,FALSE,40.65622686,-73.92695809,1,1,0,1,1,1,0,0,9/1/2011,40787,9,11,1,4,FALSE
80624786,9/5/2011,21:04:00,9 PM,BROOKLYN,TRUE,40.67429039,-73.95724337,1,0,1,1,1,1,1,1,9/1/2011,40787,9,11,1,8,FALSE
80605485,9/6/2011,2:20:00,2 AM,QUEENS,FALSE,40.69418924,-73.80253725,1,1,0,1,1,1,1,1,9/1/2011,40787,9,11,1,6,FALSE
80650776,9/8/2011,22:48:00,10 PM,BROOKLYN,FALSE,40.68679782,-73.91534567,1,1,0,1,1,1,0,0,9/1/2011,40787,9,11,1,6,FALSE
80667853,9/9/2011,23:00:00,11 PM,BRONX,FALSE,40.84194339,-73.91424788,1,1,0,1,1,1,1,1,9/1/2011,40787,9,11,1,4,FALSE
80667642,9/10/2011,1:15:00,1 AM,BROOKLYN,FALSE,40.68593572,-73.94007844,1,1,0,1,1,1,1,1,9/1/2011,40787,9,11,1,4,FALSE
80879917,9/24/2011,2:20:00,2 AM,BRONX,TRUE,40.85214828,-73.92069849,1,0,1,1,1,1,1,0,9/1/2011,40787,9,11,1,4,FALSE
