OCCUR_DATE,Incidents1,Incidents2,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,
9/1/2018,82,71,63,19,71,82,2,76,0,
10/1/2018,83,68,70,13,68,83,2,81,1,
11/1/2018,71,55,58,13,55,71,1,67,1,
12/1/2018,75,58,59,16,58,75,1,73,1,
1/1/2019,63,52,49,14,52,63,1,59,0,
2/1/2019,59,42,42,17,42,59,3,52,0,
3/1/2019,65,56,55,10,56,65,0,65,0,
4/1/2019,67,62,57,10,62,67,0,66,0,
5/1/2019,81,61,69,12,61,81,4,75,2,
6/1/2019,107,89,92,15,89,107,1,105,0,
7/1/2019,120,88,99,21,88,120,3,112,3,
8/1/2019,105,91,82,23,91,105,1,104,1,
9/1/2019,86,67,66,20,67,86,3,79,0,
10/1/2019,80,62,59,21,62,80,1,74,1,
11/1/2019,71,51,58,13,51,71,4,64,1,
12/1/2019,63,56,55,8,56,63,0,63,0,
1/1/2020,94,66,72,22,66,94,3,84,2,
2/1/2020,51,45,37,14,45,51,0,51,0,
3/1/2020,71,56,64,7,56,71,2,71,2,
4/1/2020,69,56,51,18,56,69,1,66,0,
5/1/2020,137,100,105,32,100,137,5,119,2,
6/1/2020,265,205,229,36,205,265,6,253,2,
7/1/2020,325,243,264,61,243,325,10,299,3,
8/1/2020,311,241,258,53,241,311,9,295,4,
9/1/2020,189,150,137,52,150,189,5,177,1,
10/1/2020,165,135,135,30,135,165,3,156,0,
11/1/2020,139,115,118,21,115,139,4,133,3,
12/1/2020,132,119,112,20,119,132,0,129,0,
1/1/2021,95,76,71,24,76,95,3,86,1,
2/1/2021,89,77,73,16,77,89,1,87,0,
3/1/2021,130,99,98,32,99,130,5,123,4,
4/1/2021,181,148,142,39,148,181,6,168,0,
5/1/2021,227,172,182,45,172,227,8,211,3,
6/1/2021,199,165,162,37,165,199,5,190,3,
7/1/2021,204,157,173,31,157,204,6,200,4,
8/1/2021,228,165,175,53,165,228,10,203,3,
9/1/2021,192,135,143,49,135,192,11,169,6,
10/1/2021,159,128,124,35,128,159,4,151,1,
11/1/2021,151,119,131,20,119,151,3,145,2,
12/1/2021,156,121,109,47,121,156,6,138,0,
1/1/2022,116,99,92,24,99,116,1,113,0,
2/1/2022,102,75,73,29,75,102,5,92,2,
3/1/2022,156,115,131,25,115,156,3,152,2,
4/1/2022,155,105,129,26,105,155,8,141,3,
5/1/2022,170,117,125,45,117,170,8,160,3,
6/1/2022,172,125,144,28,125,172,4,164,3,
7/1/2022,229,175,192,37,175,229,5,218,4,
8/1/2022,154,115,125,29,115,154,6,140,2,
9/1/2022,156,117,130,26,117,156,7,148,4,
10/1/2022,103,86,78,25,86,103,3,96,0,
11/1/2022,101,80,77,24,80,101,3,96,3,
12/1/2022,102,85,82,20,85,102,2,99,1,
